目录,文件名,中文名称,尺寸,AI提示词（英文）,AI提示词（中文）
frontend/public/images/animals/,cat.png,小猫,512x512,"A cute cartoon cat for children's education app, simple and friendly style, sitting pose, big eyes, smiling, pastel colors (pink and white), white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小猫，儿童教育风格，简单友好，坐姿，大眼睛，微笑，粉白色调，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,dog.png,小狗,512x512,"A cute cartoon dog for children's education app, simple and friendly style, sitting pose with tongue out, big eyes, happy expression, pastel colors (brown and beige), white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小狗，儿童教育风格，简单友好，坐姿吐舌头，大眼睛，开心表情，棕色和米色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,panda.png,熊猫,512x512,"A cute cartoon panda for children's education app, simple and friendly style, sitting pose eating bamboo, big round eyes, chubby body, black and white colors, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通熊猫，儿童教育风格，简单友好，坐姿吃竹子，大圆眼睛，胖乎乎的身体，黑白色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,chicken.png,小鸡,512x512,"A cute cartoon chicken for children's education app, simple and friendly style, standing pose, big eyes, small wings, yellow and orange colors, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小鸡，儿童教育风格，简单友好，站立姿势，大眼睛，小翅膀，黄色和橙色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,duck.png,鸭子,512x512,"A cute cartoon duck for children's education app, simple and friendly style, swimming pose, big eyes, yellow body with orange beak, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通鸭子，儿童教育风格，简单友好，游泳姿势，大眼睛，黄色身体橙色嘴巴，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,pig.png,小猪,512x512,"A cute cartoon pig for children's education app, simple and friendly style, sitting pose, big eyes, pink color, curly tail, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小猪，儿童教育风格，简单友好，坐姿，大眼睛，粉色，卷尾巴，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,cow.png,奶牛,512x512,"A cute cartoon cow for children's education app, simple and friendly style, standing pose, big eyes, black and white spots, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通奶牛，儿童教育风格，简单友好，站立姿势，大眼睛，黑白斑点，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,sheep.png,绵羊,512x512,"A cute cartoon sheep for children's education app, simple and friendly style, standing pose, big eyes, fluffy white wool, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通绵羊，儿童教育风格，简单友好，站立姿势，大眼睛，蓬松白色羊毛，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,horse.png,马,512x512,"A cute cartoon horse for children's education app, simple and friendly style, standing pose, big eyes, brown color with black mane, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通马，儿童教育风格，简单友好，站立姿势，大眼睛，棕色身体黑色鬃毛，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,rabbit.png,兔子,512x512,"A cute cartoon rabbit for children's education app, simple and friendly style, sitting pose with long ears, big eyes, white and pink colors, carrot nearby, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通兔子，儿童教育风格，简单友好，坐姿长耳朵，大眼睛，白色和粉色，旁边有胡萝卜，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,lion.png,狮子,512x512,"A cute cartoon lion for children's education app, simple and friendly style, sitting pose with fluffy mane, big eyes, smiling, yellow and orange colors, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通狮子，儿童教育风格，简单友好，坐姿蓬松鬃毛，大眼睛，微笑，黄色和橙色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,tiger.png,老虎,512x512,"A cute cartoon tiger for children's education app, simple and friendly style, sitting pose, big eyes, orange with black stripes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通老虎，儿童教育风格，简单友好，坐姿，大眼睛，橙色带黑色条纹，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,elephant.png,大象,512x512,"A cute cartoon elephant for children's education app, simple and friendly style, standing pose with long trunk, big eyes, gray color, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通大象，儿童教育风格，简单友好，站立姿势长鼻子，大眼睛，灰色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,monkey.png,猴子,512x512,"A cute cartoon monkey for children's education app, simple and friendly style, sitting pose holding a banana, big eyes, brown color, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通猴子，儿童教育风格，简单友好，坐姿拿着香蕉，大眼睛，棕色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/fruits/,apple.png,苹果,512x512,"A cute cartoon apple for children's education app, simple and friendly style, red color with green leaf, smiling face, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通苹果，儿童教育风格，简单友好，红色带绿叶，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/fruits/,banana.png,香蕉,512x512,"A cute cartoon banana for children's education app, simple and friendly style, yellow color, smiling face, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通香蕉，儿童教育风格，简单友好，黄色，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/fruits/,orange.png,橙子,512x512,"A cute cartoon orange for children's education app, simple and friendly style, orange color with green leaf, smiling face, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通橙子，儿童教育风格，简单友好，橙色带绿叶，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/fruits/,watermelon.png,西瓜,512x512,"A cute cartoon watermelon for children's education app, simple and friendly style, green striped outside with red inside showing, smiling face, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通西瓜，儿童教育风格，简单友好，绿色条纹外皮露出红色果肉，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/fruits/,strawberry.png,草莓,512x512,"A cute cartoon strawberry for children's education app, simple and friendly style, red color with seeds and green leaves on top, smiling face, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通草莓，儿童教育风格，简单友好，红色带籽顶部绿叶，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/fruits/,grape.png,葡萄,512x512,"A cute cartoon grape bunch for children's education app, simple and friendly style, purple color, smiling face, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通葡萄串，儿童教育风格，简单友好，紫色，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/icons/,animal.png,动物图标,256x256,"A cute paw print icon for children's education app, simple circular design, pink gradient background, white paw print in center, flat design, vector style","可爱的爪印图标，儿童教育应用，简单圆形设计，粉色渐变背景，中心白色爪印，扁平设计，矢量风格"
frontend/public/images/icons/,fruit.png,水果图标,256x256,"A cute apple icon for children's education app, simple circular design, yellow gradient background, red apple in center, flat design, vector style","可爱的苹果图标，儿童教育应用，简单圆形设计，黄色渐变背景，中心红色苹果，扁平设计，矢量风格"
frontend/public/images/icons/,vegetable.png,蔬菜图标,256x256,"A cute carrot icon for children's education app, simple circular design, green gradient background, orange carrot in center, flat design, vector style","可爱的胡萝卜图标，儿童教育应用，简单圆形设计，绿色渐变背景，中心橙色胡萝卜，扁平设计，矢量风格"
frontend/public/images/icons/,color.png,颜色图标,256x256,"A cute paint palette icon for children's education app, simple circular design, pink gradient background, colorful palette in center, flat design, vector style","可爱的调色板图标，儿童教育应用，简单圆形设计，粉色渐变背景，中心彩色调色板，扁平设计，矢量风格"
frontend/public/images/icons/,shape.png,形状图标,256x256,"A cute geometric shapes icon for children's education app, simple circular design, blue gradient background, star and circle shapes in center, flat design, vector style","可爱的几何形状图标，儿童教育应用，简单圆形设计，蓝色渐变背景，中心星形和圆形，扁平设计，矢量风格"
frontend/public/images/icons/,number.png,数字图标,256x256,"A cute number 123 icon for children's education app, simple circular design, orange gradient background, colorful numbers in center, flat design, vector style","可爱的数字123图标，儿童教育应用，简单圆形设计，橙色渐变背景，中心彩色数字，扁平设计，矢量风格"
frontend/public/images/icons/,letter.png,字母图标,256x256,"A cute ABC letters icon for children's education app, simple circular design, purple gradient background, colorful letters in center, flat design, vector style","可爱的ABC字母图标，儿童教育应用，简单圆形设计，紫色渐变背景，中心彩色字母，扁平设计，矢量风格"
frontend/public/images/icons/,vehicle.png,交通工具图标,256x256,"A cute car icon for children's education app, simple circular design, teal gradient background, colorful car in center, flat design, vector style","可爱的汽车图标，儿童教育应用，简单圆形设计，青色渐变背景，中心彩色汽车，扁平设计，矢量风格"
frontend/public/images/icons/,memory.png,记忆游戏图标,256x256,"A cute brain icon for children's game app, simple circular design, pink gradient background, smiling brain in center, flat design, vector style","可爱的大脑图标，儿童游戏应用，简单圆形设计，粉色渐变背景，中心微笑大脑，扁平设计，矢量风格"
frontend/public/images/icons/,puzzle.png,拼图游戏图标,256x256,"A cute puzzle piece icon for children's game app, simple circular design, green gradient background, colorful puzzle pieces in center, flat design, vector style","可爱的拼图图标，儿童游戏应用，简单圆形设计，绿色渐变背景，中心彩色拼图块，扁平设计，矢量风格"
frontend/public/images/pets/,pet_panda.png,熊猫宠物,512x512,"A cute cartoon panda character for virtual pet in children's app, full body, sitting pose, very chubby and adorable, big sparkling eyes, eating bamboo, happy expression, black and white colors with pink cheeks, white background, flat design, vector style, kawaii aesthetic","可爱的卡通熊猫角色，儿童应用虚拟宠物，全身，坐姿，非常胖乎乎可爱，大大的闪亮眼睛，吃竹子，开心表情，黑白色带粉色脸颊，白色背景，扁平设计，矢量风格"
frontend/public/images/pets/,pet_rabbit.png,兔子宠物,512x512,"A cute cartoon rabbit character for virtual pet in children's app, full body, sitting pose with long ears, very chubby and adorable, big sparkling eyes, holding a carrot, happy expression, white and pink colors, white background, flat design, vector style, kawaii aesthetic","可爱的卡通兔子角色，儿童应用虚拟宠物，全身，坐姿长耳朵，非常胖乎乎可爱，大大的闪亮眼睛，拿着胡萝卜，开心表情，白色和粉色，白色背景，扁平设计，矢量风格"
frontend/public/images/pets/,pet_dog.png,小狗宠物,512x512,"A cute cartoon puppy character for virtual pet in children's app, full body, sitting pose with tail wagging, very chubby and adorable, big sparkling eyes, tongue out, happy expression, brown and beige colors, white background, flat design, vector style, kawaii aesthetic","可爱的卡通小狗角色，儿童应用虚拟宠物，全身，坐姿摇尾巴，非常胖乎乎可爱，大大的闪亮眼睛，吐舌头，开心表情，棕色和米色，白色背景，扁平设计，矢量风格"
frontend/public/images/pets/,pet_cat.png,小猫宠物,512x512,"A cute cartoon kitten character for virtual pet in children's app, full body, sitting pose, very chubby and adorable, big sparkling eyes, playing with yarn ball, happy expression, orange and white colors, white background, flat design, vector style, kawaii aesthetic","可爱的卡通小猫角色，儿童应用虚拟宠物，全身，坐姿，非常胖乎乎可爱，大大的闪亮眼睛，玩毛线球，开心表情，橙白色，白色背景，扁平设计，矢量风格"
